"match_id","innings_1_score","runs_to_win","wickets_in_hand","bowler_runs","bowler_econ","bowler_wickets","bowler_boundaries","batsman_runs","batsman_sr","batsman_boundaries","non_striker_runs","non_striker_sr","non_striker_boundaries","bowler_eg_games","bowler_eg_runs","bowler_eg_economy","bowler_eg_wickets","batsman_eg_games","batsman_eg_runs","batsman_eg_sr","non_striker_eg_games","non_striker_eg_runs","non_striker_eg_sr","bowler_lt_games","bowler_lt_runs","bowler_lt_economy","bowler_lt_wickets","batsman_lt_games","batsman_lt_runs","batsman_lt_sr","non_striker_lt_games","non_striker_lt_runs","non_striker_lt_sr","match_result"
"392186","165","25","4","15","5.0000","2","1","14","107.6923","1","35","145.8333","3","114","1526","8.1970","122","4","36","128.5714","141","2769","177.5000","122","3481","7.3880","188","5","36","120.0000","182","4631","137.3776","Won"
"392212","153","7","6","23","7.6667","1","3","17","121.4286","2","47","127.0270","6","23","311","10.2527","9","56","663","150.3401","25","374","159.8291","42","1174","9.0077","33","82","1150","121.4361","78","1808","123.6662","Lost"
"392209","145","13","5","23","7.6667","0","3","8","160.0000","1","3","100.0000","0","79","1058","10.7230","43","56","663","150.3401","67","424","123.6152","119","3342","7.9477","102","82","1150","121.4361","75","584","111.8774","Won"
"598022","152","12","3","29","9.6667","0","4","3","150.0000","0",NULL,NULL,NULL,"64","776","9.5215","41","6","36","109.0909","41","262","115.9292","101","2703","7.9383","99","7","51","104.0816","42","310","113.1387","Lost"
"501251","178","42","2","12","4.0000","2","1","3","60.0000","0","7","175.0000","1","114","1526","8.1970","122","20","116","145.0000","15","125","137.3626","122","3481","7.3880","188","20","126","141.5730","18","179","118.5430","Won"
"501221","168","26","4","29","9.6667","1","5","16","133.3333","1","23","230.0000","3","26","360","11.0769","13","7","63","140.0000","16","179","140.9449","40","1062","8.1379","36","19","417","136.7213","20","285","110.0386","Won"
"501218","187","8","3","24","8.0000","1","3","3","150.0000","0",NULL,NULL,NULL,"5","56","12.9231","2","7","63","140.0000","17","30","46.1538","16","314","7.9831","11","19","417","136.7213","19","39","45.3488","Lost"
"501272","175","21","5","32","16.0000","1","4","28","155.5556","2","11","220.0000","1","58","877","10.4821","39","9","97","142.6471","76","930","167.8700","73","2083","8.2659","85","16","321","107.0000","149","3659","126.6967","Lost"
"598043","164","44","2","12","4.0000","0","0","20","95.2381","2",NULL,NULL,NULL,"110","1876","9.6287","108","42","180","96.2567","19","65","89.0411","137","3869","8.5597","175","42","183","94.3299","19","66","88.0000","Won"
"598040","164","28","6","18","6.0000","0","2","6","150.0000","1","1","50.0000","0","20","181","9.5263","6","43","684","166.4234","25","244","131.8919","69","1764","7.6089","53","86","2343","130.4566","38","514","109.3617","Won"
"548339","162","8","6","10","10.0000","0","1","61","160.5263","7","3","75.0000","0","30","439","11.4522","21","21","262","161.7284","50","760","183.5749","36","1031","8.8625","37","69","2489","133.3869","77","1850","139.3072","Lost"
"548371","190","16","4","21","7.0000","1","3","62","187.8788","9","13","162.5000","2","17","213","10.6500","8","28","410","179.0393","20","251","154.9383","44","1317","8.8986","39","61","1322","123.5514","32","511","121.0900","Lost"
"548318","166","36","2","10","3.3333","2","1","23","164.2857","3",NULL,NULL,NULL,"7","88","10.1538","5","16","172","157.7982","51","294","113.5135","11","285","7.9907","10","17","187","152.0325","57","340","108.9744","Won"
"980912","227","55","4","21","7.0000","2","2","19","158.3333","3","21","123.5294","2","72","961","9.9931","55","28","214","131.2883","31","478","173.1884","105","2742","8.1124","107","34","317","115.6934","59","1272","126.4414","Won"
"980996","179","9","7","32","10.6667","0","4","35","166.6667","5","17","170.0000","2","62","883","10.2278","46","56","906","183.4008","15","216","178.5124","86","2488","8.5108","100","126","2754","130.2128","17","238","168.7943","Lost"
"392239","116","32","2","8","8.0000","0","1",NULL,NULL,NULL,"4","133.3333","0","58","877","10.4821","39","9","67","111.6667","67","424","123.6152","73","2083","8.2659","85","9","67","104.6875","75","584","111.8774","Won"
"392215","211","84","2","15","5.0000","1","2","5","83.3333","0","0","0.0000","0","43","465","9.1176","25","9","67","111.6667","12","34","61.8182","75","1944","7.7450","73","9","67","104.6875","12","34","61.8182","Won"
"392231","120","6","6","11","3.6667","0","1","39","86.6667","5","21","190.9091","3","25","223","8.1091","9","16","202","157.8125","56","663","150.3401","34","894","6.9035","34","68","1687","121.8051","82","1150","121.4361","Won"
"419149","181","26","2","26","8.6667","1","4","2","66.6667","0","3","100.0000","0","23","311","10.2527","9","48","247","106.9264","11","74","125.4237","42","1174","9.0077","33","54","362","93.5401","16","121","108.0357","Won"
"419113","142","4","6","24","8.0000","0","3","25","119.0476","1","72","135.8491","10","64","776","9.5215","41","25","244","131.8919","26","270","145.9459","101","2703","7.9383","99","38","514","109.3617","151","4217","124.2487","Lost"
"734038","179","31","2","43","14.3333","0","6","22","275.0000","3","0","0.0000","0","6","80","8.8889","8","39","439","157.3477","2","7","100.0000","7","239","9.5600","11","45","527","136.8831","2","7","100.0000","Won"
"734022","178","34","2","15","7.5000","0","1","29","152.6316","3",NULL,NULL,NULL,"84","1322","8.9526","69","39","439","157.3477","41","251","145.9302","92","2687","7.6155","127","45","527","136.8831","47","342","120.4225","Won"
"729290","133","8","4","14","4.6667","1","1","47","151.6129","5",NULL,NULL,NULL,"100","1446","9.0753","83","40","397","151.5267","39","439","157.3477","121","3327","7.4016","146","66","880","129.0323","45","527","136.8831","Lost"
"733994","134","35","1","6","6.0000","1","0","2","66.6667","0","6","120.0000","1","64","776","9.5215","41","6","12","40.0000","18","99","101.0204","101","2703","7.9383","99","6","18","47.3684","20","104","96.2963","Won"
"598038","194","71","3","8","8.0000","2","1","17","113.3333","2","21","131.2500","3","12","158","13.3521","7","6","36","109.0909","41","262","115.9292","46","825","9.1837","27","7","51","104.0816","42","310","113.1387","Won"
"501274","147","7","4","17","5.6667","2","2","28","116.6667","2","5","125.0000","1","28","312","9.6495","14","9","97","142.6471","73","620","153.0864","62","1676","7.5723","66","16","321","107.0000","86","829","139.3277","Lost"
